Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency,Industry
NVDA,NVIDIA Corporation,-4.126527677929554,153495587,1.010269908032679,4840967858390.087,USD,30.634935220067995,6.5298,USD,110.33338701884364,0.0191708602923556,Electronic technology,Strong buy,200.04,USD,Semiconductors
AAPL,Apple Inc.,-0.9124271910036631,52010820,0.9606702534830571,4322489143977.503,USD,35.60152422427871,8.2665,USD,29.004822172630675,0.353523450388876,Electronic technology,Buy,294.3,USD,Telecommunications equipment
GOOG,Alphabet Inc.,-0.7741269568209155,21818231,1.009010113334757,4199092587241.511,USD,26.39998169210701,13.1091,USD,46.187815730487436,0.240839497677619,Technology services,Strong buy,346.08,USD,Internet software/Services
GOOGL,Alphabet Inc.,-1.0152139098604471,34007651,1.0478946896196089,4188890142996.4663,USD,26.403795836480004,13.1091,USD,46.187815730487436,0.240219629375429,Technology services,Strong buy,346.13,USD,Internet software/Services
AMZN,"Amazon.com, Inc.",0.567034666437571,60492207,1.273014942678314,2518346803149.4756,USD,27.977819472495433,8.3677,USD,36.47513577870922,0,Retail trade,Strong buy,234.11,USD,Internet retail
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,-6.688476917484556,20364067,1.4306865992325395,2055680166320.047,USD,36.268814255200674,12.0321,USD,54.805465493283926,0.563637393888853,Electronic technology,Strong buy,436.39,USD,Semiconductors
AVGO,Broadcom Inc.,-3.055109274985341,33122242,0.9447572939325319,1808594089220.3345,USD,63.28450141501582,6.007,USD,125.81008946695735,0.632443322367582,Electronic technology,Strong buy,380.15,USD,Semiconductors
MU,"Micron Technology, Inc.",-13.17588205187473,60243133,1.1196132285377567,1186116803204.6997,USD,49.65559243294793,21.1813,USD,409.11691183540046,0.0408624874110519,Electronic technology,Strong buy,1051.77,USD,Semiconductors
AMD,"Advanced Micro Devices, Inc.",-5.761107989050627,30196656,0.9691326467930623,847667722103.1898,USD,170.61603597098693,3.0469,USD,123.34701656648583,0,Electronic technology,Buy,519.85,USD,Semiconductors
ASML,ASML Holding N.V. - New York Registry Shares,-7.815990669949461,2415719,1.0084175928893613,722784791454.1624,USD,59.29939448905012,29.9912,USD,26.402744587321447,0.387083996371647,Electronic technology,Buy,1778.46,USD,Semiconductors
INTC,Intel Corporation,-6.144458634880088,132976743,0.890628980558294,664839291517.0135,USD,,-0.6263,USD,85.99601994499474,0,Electronic technology,Neutral,132.28,USD,Semiconductors
AMAT,"Applied Materials, Inc.",-8.481989440469862,12035056,1.0513346178803433,465164934758.2525,USD,55.04838861223339,10.643,USD,29.538345443701996,0.29835358805336,Producer manufacturing,Strong buy,585.88,USD,Industrial machinery
LRCX,Lam Research Corporation,-9.32997997753578,16065230,1.16413710505457,464374555799.5619,USD,70.08738981899171,5.2981,USD,47.59583240472476,0.246618156956585,Producer manufacturing,Buy,371.33,USD,Industrial machinery
ARM,Arm Holdings plc,-10.136858628470529,11079064,0.8049146662066351,433814081299,USD,432.88043478260863,0.8464,USD,13.595490538182803,0,Electronic technology,Buy,366.39,USD,Semiconductors
GE,GE Aerospace,0.3801531876548836,4735236,0.9611588964716365,371918435185.00146,USD,43.93270889820064,8.114,USD,26.528193612774466,0.436472178418563,Electronic technology,Buy,356.47,USD,Aerospace & defense
UNH,UnitedHealth Group Incorporated,0.6319464935575866,6675885,0.9616470930323594,371658067784.698,USD,30.90825327774757,13.2408,USD,-44.64988148934658,2.1736992229763,Health services,Buy,409.25,USD,Managed health care
MS,Morgan Stanley,-0.46677528733101514,6052807,0.9211407882048096,356513702935.12463,USD,20.471692132124517,11.0411,USD,29.550841292563295,1.7614161786076,Finance,Buy,226.03,USD,Investment managers
HSBC,"HSBC Holdings, plc.",-0.9532690912858789,1051482,0.5684960532236035,330358224885.4304,USD,15.797127794946373,6.0511,USD,11.526623292847004,3.86488446793078,Finance,Neutral,95.59,USD,Major banks
GS,"Goldman Sachs Group, Inc. (The)",-1.0783011108399394,2066874,0.8217175006322283,322867914692.3748,USD,20.000219292635055,54.7214,USD,26.993564617230493,1.40097797301084,Finance,Neutral,1094.44,USD,Investment banks/Brokers
KLAC,KLA Corporation,-9.165552087977415,18703754,1.2040922835055572,319371244754.29224,USD,69.11768863257286,3.5373,USD,28.554295682512006,0.297220983801456,Electronic technology,Buy,244.49,USD,Semiconductors
SNDK,Sandisk Corporation,-13.63970216340551,12867750,1.163685102755219,290789064878.4306,USD,68.2585314473826,28.7671,USD,,0,Electronic technology,Buy,1963.6,USD,Computer peripherals
DELL,Dell Technologies Inc.,2.166177067660193,6643874,0.7630865391462549,277321658870.06085,USD,33.99369045064804,12.5841,USD,100.63934948979589,0.526617467937236,Electronic technology,Buy,427.78,USD,Computer processing hardware
TXN,Texas Instruments Incorporated,-8.402552064523885,10814271,1.1701643992170634,276995854082.84,USD,52.06918378868493,5.8453,USD,10.750487883438492,1.69134464909113,Electronic technology,Buy,304.36,USD,Semiconductors
SFTBY,Softbank Group Corp,-8.457040035987399,7455054,1.8983216869828479,255888687300.69302,USD,7.039086821169146,2.891,USD,343.9496314496314,0.0982141250562303,Communications,Buy,20.35,USD,Specialty telecommunications
C,"Citigroup, Inc.",-0.4805382027871138,13297288,0.9196908892982432,248610132902.5983,USD,17.964064436183396,8.07,USD,27.480096044483766,1.64755955241299,Finance,Strong buy,144.97,USD,Major banks
MRVL,"Marvell Technology, Inc.",-9.361398038069249,46361050,0.5810489863647649,244104176978.46454,USD,95.3526517222526,2.9264,USD,,0.0779575131553303,Electronic technology,Strong buy,279.04,USD,Semiconductors
PANW,"Palo Alto Networks, Inc.",1.5764664804469426,5430451,0.7359403098167926,237095719947.58658,USD,239.2983466315703,1.2157,USD,-30.432045779685268,0,Technology services,Buy,290.915,USD,Packaged software
STX,Seagate Technology Holdings PLC,-5.068370443493843,5211121,1.1207410302689402,232881993634.55304,USD,98.58471760797342,10.535,USD,52.226685547495876,0.266900661767394,Electronic technology,Buy,1038.59,USD,Computer peripherals
WDC,Western Digital Corporation,-8.445032895634846,12684424,1.2570852507314147,231195536422.7253,USD,40.039756209669235,16.7521,USD,218.5112653294039,0.0614233845649859,Electronic technology,Buy,670.75,USD,Computer peripherals
MUFG,"Mitsubishi UFJ Financial Group, Inc.",-3.3077660594439005,3274762,0.9333309316721894,230624321928,USD,14.29280045351474,1.4112,USD,34.5152988275665,2.32920901246405,Finance,Buy,20.17,USD,Major banks
AXP,American Express Company,-0.0857810512615791,3549756,1.1464547020114204,230476221795.06848,USD,21.069111776447105,16.032,USD,11.993629104931163,1.0086668441447,Finance,Buy,337.78,USD,Finance/Rental/Leasing
TOELY,Tokyo Electron Ltd.,-7.739662225102258,612889,0.8864854466388814,218835141025.12064,USD,55.208181862246136,4.1262,USD,6.705629832682513,0.659453933972788,Producer manufacturing,Buy,227.8,USD,Industrial machinery
QCOM,QUALCOMM Incorporated,-8.008111762054984,23781891,1.1354797726734438,215153014082.1618,USD,22.203972414993363,9.1934,USD,-6.380855397148674,1.60432627309599,Electronic technology,Neutral,204.13,USD,Semiconductors
BHP,BHP Group Limited,-4.115178363254839,4244440,1.3353833936930755,214598182287.99997,USD,20.39879963294561,4.0321,USD,-9.901233464426177,3.06598274656097,Non-energy minerals,Neutral,82.25,USD,Steel
ANET,"Arista Networks, Inc.",-7.08065994500459,7770051,1.0527169409455008,204242664818.86,USD,55.54033694014518,2.9204,USD,23.546831373212623,0,Electronic technology,Strong buy,162.2,USD,Computer peripherals
SAN,"Banco Santander, S.A. Sponsored",-0.8023340627279446,7047779,0.7531157132540395,201189908850.88416,USD,10.863487499001517,1.2519,USD,43.995859213250526,1.46148796498906,Finance,Buy,13.6,USD,Major banks
ADI,"Analog Devices, Inc.",-8.579509742300445,7559622,1.4848478723806078,198371071227.86676,USD,60.52131011115735,6.7292,USD,83.19222497481829,0.913621262458472,Electronic technology,Buy,407.26,USD,Semiconductors
APH,Amphenol Corporation,-4.374548083875644,10010550,0.965455014539428,195238222582.96634,USD,45.603448275862064,3.48,USD,68.63733281643728,0.500120510966498,Electronic technology,Buy,158.7,USD,Electronic components
CRWD,"CrowdStrike Holdings, Inc.",0.811322989458709,2372011,0.7638301071965536,173338277409.0052,USD,,-0.1885,USD,73.02132531844855,0,Technology services,Buy,680.92,USD,Packaged software
RIO,Rio Tinto Plc,-3.8043478260869574,3186286,1.1309506632806503,170656288561.2934,USD,15.680162740337291,6.0956,USD,-13.847980326200638,4.02073268921095,Non-energy minerals,Buy,95.58,USD,Other metals/Minerals
IBKR,"Interactive Brokers Group, Inc.",-2.1896302416855926,6269257,1.369678001006647,160631287290.49997,USD,40.713671539122956,2.326,USD,28.423144876325097,0.330510225160091,Finance,Buy,94.7,USD,Investment banks/Brokers
UBS,UBS Group AG Registered,-1.6621040281580002,1230910,0.49019482905803874,152274234586.08655,USD,17.96669064869156,2.7990686200000003,USD,85.69118793825896,2.07151148730351,Finance,Neutral,50.29,USD,Investment managers
SCCO,Southern Copper Corporation,-5.971249539255439,1166152,0.7547888378045292,148986041548.2385,USD,30.246108504547838,5.9039,USD,36.79417966125258,1.90046595755884,Non-energy minerals,Sell,178.57,USD,Other metals/Minerals
IFNNY,Infineon Technologies AG,-6.980732371633211,440979,0.5915873083588425,127806521396.48639,USD,96.60555264536406,0.9545,USD,51.772936873906815,0.282397673898457,Electronic technology,Buy,92.21,USD,Semiconductors
VRT,"Vertiv Holdings, LLC",-11.073863001452674,10277343,1.6099742888935313,122269518473.31323,USD,79.90962721225054,3.9835,USD,130.95431354359923,0.0558721644876523,Electronic technology,Buy,318.32,USD,Electronic production equipment
SBUX,Starbucks Corporation,0.8986520219670409,6001639,0.7562474814385645,115166681820.68346,USD,77.1256296748588,1.3102,USD,-52.37541347097525,2.46630054917624,Consumer services,Neutral,101.05,USD,Restaurants
CDNS,"Cadence Design Systems, Inc.",-2.565288916306811,2140080,0.8092760747796082,104550818865.51784,USD,88.49305474495155,4.2835,USD,8.486982068686055,0,Technology services,Buy,379.06,USD,Packaged software
CMI,Cummins Inc.,-3.5699998620556466,812579,0.6831513917236332,96461251032.56557,USD,36.284692484571025,19.2657,USD,-4.155514651012388,1.1035548259832,Producer manufacturing,Buy,699.05,USD,Auto parts: OEM
ASX,"ASE Technology Holding Co., Ltd.",-8.826226501604756,17067807,1.3253988507105818,93401846979.504,USD,59.040973871733975,0.6736,USD,43.41068767298275,0.59895919303072,Electronic technology,No rating,39.77,USD,Semiconductors
HOOD,"Robinhood Markets, Inc.",-2.3271213697852557,40632283,1.0896753701556425,93059772697.73676,USD,49.93471006432268,2.0677,USD,18.0126705096741,0,Finance,Buy,103.25,USD,Investment banks/Brokers
FCX,"Freeport-McMoRan, Inc.",-6.9498627365987415,16705862,1.162178274277201,92578850825.96156,USD,34.260786295685485,1.8797,USD,55.154766817994215,0.866926744690074,Non-energy minerals,Buy,64.4,USD,Other metals/Minerals
BCS,Barclays PLC,-0.989373396848661,4506466,0.8061188288401209,92239234073.24261,USD,11.075586161665846,2.4396,USD,21.621217408644497,1.6378673506779,Finance,Buy,27.02,USD,Investment banks/Brokers
BE,Bloom Energy Corporation,-6.901836056093683,11493455,0.9858560179675504,91585241511.13472,USD,,-0.0564,USD,32.85714285714286,0,Electronic technology,Buy,321.98,USD,Electronic production equipment
ING,"ING Group, N.V.",-1.7080745341615036,5480390,0.9795205934643065,91271173096.5108,USD,12.516312729861193,2.5287,USD,,3.34092857142857,Finance,Buy,31.65,USD,Major banks
UPS,"United Parcel Service, Inc.",-1.3148079074971994,4023904,0.690870832384093,89956159657.21913,USD,17.133189787757612,6.1769,USD,-9.902564252166055,6.11712047743379,Transportation,Buy,105.83,USD,Air freight/Couriers
ITUB,Itau Unibanco Banco Holding SA,0.1261034047919379,23430510,0.8819163399848768,89346490352.31151,USD,10.876712328767123,0.73,USD,7.892403192432752,6.58862034290504,Finance,Buy,7.94,USD,Major banks
SNPS,"Synopsys, Inc.",-0.662964397950834,2161077,1.0412609900675625,88367705629.0768,USD,106.76691729323309,4.3225,USD,-68.87197361409169,0,Technology services,Buy,461.5,USD,Packaged software
MMM,3M Company,-0.8454846219825973,2816252,0.625595662166631,84410446109.79292,USD,31.22274954662963,5.1834,USD,-34.5232681521904,1.85026344810685,Producer manufacturing,Buy,161.84,USD,Industrial conglomerates
LYG,Lloyds Banking Group Plc,-0.17421602787456072,18898406,0.48616048049877997,84186311572.0162,USD,13.665633198187455,0.4193,USD,,3.40649825783972,Finance,Buy,5.73,USD,Major banks
ABNB,"Airbnb, Inc.",-0.24427042172570113,3428889,0.8466226821780997,83685576318.66476,USD,34.200349762309415,4.0599,USD,2.1538384117957854,0,Consumer services,Buy,138.85,USD,Hotels/Resorts/Cruise lines
RCL,Royal Caribbean Cruises Ltd.,0.05495215929659913,4334301,1.7931062871232344,83014387239.89809,USD,18.89405703682,16.3824,USD,37.58860483085296,1.37380398241531,Consumer services,Buy,309.53,USD,Hotels/Resorts/Cruise lines
EMR,Emerson Electric Company,-4.7067438918847095,2925617,1.0330861429439542,80172714088.62273,USD,33.02417866371355,4.3344,USD,3.4463007159904335,1.45962319419479,Electronic technology,Buy,143.14,USD,Electronic equipment/Instruments
SNOW,Snowflake Inc.,1.6858643364667432,4510957,0.7067047193160174,79860106115.92189,USD,,-3.5146,USD,16.45828381269312,0,Technology services,Strong buy,230.41,USD,Packaged software
DDOG,"Datadog, Inc.",-0.36138591498396866,3280491,0.6458733531119506,78514138845.95152,USD,588.6575927408594,0.3747,USD,-18.825823223570197,0,Technology services,Strong buy,220.57,USD,Packaged software
NOK,Nokia Corporation Sponsored,-5.0589050589050615,84536406,0.703037377583246,78325904470.45297,USD,85.46475358702432,0.1603,USD,8.67796610169492,0.832626472626473,Electronic technology,Buy,13.7,USD,Telecommunications equipment
NXPI,NXP Semiconductors N.V.,-7.208266303675291,6167763,1.3623667463892415,75726174825.65543,USD,28.700469824987803,10.4507,USD,13.848248815294934,1.25479519861403,Electronic technology,Buy,299.94,USD,Semiconductors
FDX,FedEx Corporation,-3.509945860453788,3550889,1.9418785404776209,75695605243.59804,USD,16.886683984158754,18.7864,USD,17.954642489388956,1.76409757284506,Transportation,Buy,317.24,USD,Air freight/Couriers
APO,"Apollo Global Management, Inc. (New)",-3.4021152281635927,4019818,1.1788358879110918,75298956645.71526,USD,85.88807785888079,1.5207,USD,-73.13820391436445,1.54759263368094,Finance,Buy,130.61,USD,Investment managers
COHR,Coherent Corp.,-10.40236908902886,5954792,0.9240785749655096,74581626547.01082,USD,182.00133677074385,2.0946,USD,,0,Electronic technology,Buy,381.22,USD,Semiconductors
GM,General Motors Company,-1.8401094119109833,7860765,0.8086932150586121,71186464741.46152,USD,31.844949983865764,2.4792,USD,-64.28849228641805,0.783289817232376,Consumer durables,Buy,78.95,USD,Motor vehicles
STM,STMicroelectronics N.V.,-9.360530596921524,14128851,0.9648324393293832,70717379147.22455,USD,470.93628088426533,0.1538,USD,-86.87713310580205,0.38293079714679,Electronic technology,Buy,72.43,USD,Semiconductors
MPWR,"Monolithic Power Systems, Inc.",-7.420604988685731,1636567,1.633836369276029,69949330543.27,USD,102.57636887608068,13.88,USD,-63.151159888922514,0.434364189663693,Electronic technology,Buy,1423.76,USD,Semiconductors
NWG,NatWest Group plc,-1.3135351227869811,7974832,1.2697390062168368,69900376966.9672,USD,9.245585874799358,1.869,USD,25.88401697312589,4.8847572815534,Finance,Buy,17.28,USD,Major banks
NBIS,Nebius Group N.V.,-2.9477098832904387,18766864,0.9846118744349538,69266779227.70088,USD,91.832649384446,2.9973,USD,,0,Technology services,Buy,275.25,USD,Packaged software
ALAB,"Astera Labs, Inc.",-9.69840331164992,6478314,0.8752750301595861,68052382384.67297,USD,267.6058236721488,1.4836,USD,532.3955669224212,0,Electronic technology,Buy,397.02,USD,Semiconductors
WBD,"Warner Bros. Discovery, Inc. - Series A",-0.25974025974026077,21616844,0.8588075922952981,67391836907.71949,USD,,-0.6988,USD,84.13440799182655,0,Consumer services,Neutral,26.88,USD,Cable/Satellite TV
FIX,"Comfort Systems USA, Inc.",-7.667032823455984,674602,1.3202240264404117,67168695031.98844,USD,55.0731539769267,34.6461,USD,107.81259372113385,0.125815989276606,Industrial services,Strong buy,1908.07,USD,Engineering & construction
DB,Deutsche Bank AG,-2.5214740925464216,2083539,0.590848963030562,65901957075.046974,USD,10.353674111755627,3.397827633,USD,59.0417610555007,3.17460317460317,Finance,Neutral,35.18,USD,Investment banks/Brokers
TER,"Teradyne, Inc.",-8.070021881838073,7671714,1.429609840420561,65766492273.90879,USD,77.75680177679068,5.403,USD,52.929521652986125,0.109409190371991,Electronic technology,Buy,420.12,USD,Electronic production equipment
VALE,VALE S.A.,-2.5461489497135603,28252995,1.2400154065127655,65269143622.269005,USD,23.366910866910867,0.6552,USD,-51.75612988734262,5.78322087842139,Non-energy minerals,Buy,15.31,USD,Steel
CIEN,Ciena Corporation,-0.10427302152802584,3816527,0.9034082453450543,65093107204.59139,USD,153.06394168358685,3.0043,USD,318.48446858894005,0,Electronic technology,Buy,459.85,USD,Telecommunications equipment
UMC,United Microelectronics Corporation (NEW),-4.72727272727273,25943473,1.3166007791284453,63553016219.68749,USD,40.61385831654007,0.6451,USD,18.453911127432985,1.35191636363636,Electronic technology,Sell,26.2,USD,Semiconductors
KEYS,Keysight Technologies Inc.,-5.560614989018052,1212346,0.842436158158799,60254289133.589226,USD,58.091409365011366,6.0694,USD,42.551142635695335,0,Electronic technology,Buy,352.58,USD,Electronic equipment/Instruments
CARR,Carrier Global Corporation,-1.5309672929714606,5385435,0.8644546932149625,58763565188.636055,USD,46.48183430786413,1.5221,USD,-65.07102370516557,1.29436325678497,Producer manufacturing,Buy,70.75,USD,Industrial machinery
CRWV,"CoreWeave, Inc.",-5.004942043310277,25319491,0.8062031421023598,57677697991.44433,USD,,-3.1473,USD,-21.728872558499315,0,Technology services,Buy,105.72,USD,Packaged software
DAL,"Delta Air Lines, Inc.",0.9310986964618215,6895039,0.7958806466503489,56974546539.78399,USD,12.662626852595459,6.8485,USD,21.407931358471153,0.872905027932961,Transportation,Strong buy,86.72,USD,Airlines
F,Ford Motor Company,-0.7795889440113355,65368276,1.2588825635652414,55785695772.92701,USD,,-1.4073,USD,-212.7644230769231,4.25230333097094,Consumer durables,Neutral,14,USD,Motor vehicles
FLEX,Flex Ltd.,-2.541557024581226,7937758,0.6068585021847417,55634487751.17451,USD,65.12415833940901,2.3317,USD,10.433835369896748,0,Electronic technology,Buy,151.85,USD,Electronic production equipment
RKLB,Rocket Lab Corporation,-5.155050353973478,22306423,0.6899366253913861,55061876405.56785,USD,,-0.3303,USD,19.985465116279073,0,Electronic technology,Buy,95.12,USD,Aerospace & defense
ROK,"Rockwell Automation, Inc.",-4.543172690763046,688584,1.011600622664494,50780981270.08007,USD,47.418952618453865,9.624,USD,21.16633932618221,1.1399765729585,Producer manufacturing,Buy,456.36,USD,Electrical products
CRDO,Credo Technology Group Holding Ltd,-10.086936400899111,10376006,1.0141691646285798,50722916631.80681,USD,109.68828131300911,2.4798,USD,789.7739504843918,0,Technology services,Strong buy,272.005,USD,Information technology services
MCHP,Microchip Technology Incorporated,-9.200662058222168,17126045,1.3771580609591472,50554307945.33521,USD,431.959240389069,0.2159,USD,,1.77197935936131,Electronic technology,Buy,93.26,USD,Semiconductors
FER,Ferrovial N.V.,-1.0599208592425098,1673393,0.892042662569245,50283489441.88868,USD,48.32806588248719,1.448640634,USD,-68.71270985641983,1.53350373255437,Industrial services,Buy,70.01,USD,Engineering & construction
